client,insured_id,insured_name,primary_contact_email,compliance_status,verification_status,next_expiration,active,paused,sync_date
"Block Real Estate Services, LLC",69fded0c62446148bd848af9,"1&1 Internet / IONOS, Inc.",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848afc,1248 Holdings LLC,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848aff,"1-800-Pack Rat, LLC",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b02,24 Hour Check Cashing,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b05,"Big Biscuit / 27 Biscuits, LLC",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b08,"Ray's Donuts & Deli / 6tinos, LLC",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b0b,717 Office Group LLC,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b0e,A.N.D. Design Studio LLC,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b14,Academy Bank,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b17,"Pertronix (Aeromotive) / Accelerate Auto Works Intermediate, LLC",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b1a,Actuarial Resources Corporation (ARC),,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b1d,"Adams Cable Equipment, Inc.",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b20,Adare Pharma Solutions,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b23,"ADI (Ademco Distribution, Inc.) / Honeywell International, Inc.",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b26,"Advanced Auto / Advanced Stores Co., Inc.",,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b29,Advanced Pharmaceuticals LLC,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b2c,Advanced Turf Solutions Inc,,PENDING,,,true,false,2026-09-24
"Block Real Estate Services, LLC",69fded0c62446148bd848b2f,"Daymon / Advantage Sales & Marketing, LLC",,PENDING,,,true,false,2026-09-24
