client,insured_id,insured_name,primary_contact_email,compliance_status,verification_status,next_expiration,active,paused,sync_date
QTS Data Centers,69f0f3c4beb6279e947be0d0,"AP Gulf States, Inc.",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c4beb6279e947be0d5,Brasfield & Gorrie L.L.C.,,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c4beb6279e947be0da,"Clayco, Inc.",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c4beb6279e947be0df,Evans General Contractors LLC,,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c4beb6279e947be0e4,Gilbane Building Company,,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c4beb6279e947be0e9,"Gray Construction, Inc.",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be0ee,"HITT Contracting, Inc.",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be0f3,"Holder Construction Group, LLC",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be0f8,"Layton Construction Company, LLC",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be0fd,M. A. Mortenson Company,,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be102,Rogers-O-Brien Construction Company Ltd.,,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be107,"Structure Tone, LLC",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be10c,"Suffolk Construction Company, Inc.",,PENDING,,,true,false,2026-09-26
QTS Data Centers,69f0f3c5beb6279e947be111,Whitting-Turner Contracting Company,,PENDING,,,true,false,2026-09-26
